symbol,sector,industry,exchange,market_cap_B
BHP,Basic Materials,Other Industrial Metals & Mining,NYQ,143.04
COF,Financial Services,Credit Services,NYQ,143.04
PFE,Healthcare,Drug Manufacturers - General,NYQ,140.77
TD,Financial Services,Banks - Diversified,NYQ,138.34
HON,Industrials,Conglomerates,NMS,137.22
LOW,Consumer Cyclical,Home Improvement Retail,NYQ,136.12
TTE,Energy,Oil & Gas Integrated,NYQ,135.78
SPOT,Communication Services,Internet Content & Information,NYQ,132.89
CRWD,Technology,Software - Infrastructure,NMS,132.33
UNP,Industrials,Railroads,NYQ,128.48
PGR,Financial Services,Insurance - Property & Casualty,NYQ,128.47
DE,Industrials,Farm & Heavy Construction Machinery,NYQ,127.8
SNY,Healthcare,Drug Manufacturers - General,NMS,125.79
HOOD,Financial Services,Capital Markets,NMS,124.23
CEG,Utilities,Utilities - Renewable,NMS,121.59
UBS,Financial Services,Banks - Diversified,NYQ,121.11
MDT,Healthcare,Medical Devices,NYQ,120.14
BUD,Consumer Defensive,Beverages - Brewers,NYQ,119.8
WELL,Real Estate,REIT - Healthcare Facilities,NYQ,119.01
PLD,Real Estate,REIT - Industrial,NYQ,117.41
ADI,Technology,Semiconductors,NMS,117.09
IBKR,Financial Services,Capital Markets,NMS,116.86
RIO,Basic Materials,Other Industrial Metals & Mining,NYQ,114.99
ADP,Technology,Software - Application,NMS,113.81
BTI,Consumer Defensive,Tobacco,NYQ,113.4
BBVA,Financial Services,Banks - Diversified,NYQ,113.06
LMT,Industrials,Aerospace & Defense,NYQ,112.32
KKR,Financial Services,Asset Management,NYQ,112.21
IBN,Financial Services,Banks - Regional,NYQ,112.14
CB,Financial Services,Insurance - Property & Casualty,NYQ,111.18
DASH,Consumer Cyclical,Internet Retail,NMS,110.28
COP,Energy,Oil & Gas E&P,NYQ,109.94
MELI,Consumer Cyclical,Internet Retail,NMS,109.56
MO,Consumer Defensive,Tobacco,NYQ,108.64
VRTX,Healthcare,Biotechnology,NMS,108.04
DELL,Technology,Computer Hardware,NYQ,106.32
SO,Utilities,Utilities - Regulated Electric,NYQ,105.47
SCCO,Basic Materials,Copper,NYQ,105.05
HCA,Healthcare,Medical Care Facilities,NYQ,104.6
CVS,Healthcare,Healthcare Plans,NYQ,103.91
BN,Financial Services,Asset Management,NYQ,103.73
SMFG,Financial Services,Banks - Diversified,NYQ,102.78
ENB,Energy,Oil & Gas Midstream,NYQ,102.34
NKE,Consumer Cyclical,Footwear & Accessories,NYQ,102.16
MCK,Healthcare,Medical Distribution,NYQ,99.72
DUK,Utilities,Utilities - Regulated Electric,NYQ,99.05
SBUX,Consumer Cyclical,Restaurants,NMS,97.86
PH,Industrials,Specialty Industrial Machinery,NYQ,97.69
CME,Financial Services,Financial Data & Stock Exchanges,NMS,97.2
TT,Industrials,Building Products & Equipment,NYQ,94.76
GD,Industrials,Aerospace & Defense,NYQ,94.75
CDNS,Technology,Software - Application,NMS,94.04
NTES,Communication Services,Electronic Gaming & Multimedia,NMS,93.94
SE,Consumer Cyclical,Internet Retail,NYQ,91.56
MMC,Financial Services,Insurance Brokers,NYQ,91.39
COIN,Financial Services,Financial Data & Stock Exchanges,NMS,91.07
NEM,Basic Materials,Gold,NYQ,90.98
