symbol,sector,industry,exchange,market_cap_B
CHYM,Technology,Software - Application,NMS,7.01
OLED,Technology,Electronic Components,NMS,6.99
VRNS,Technology,Software - Infrastructure,NMS,6.98
FLS,Industrials,Specialty Industrial Machinery,NYQ,6.98
LEU,Energy,Uranium,ASE,6.97
SITM,Technology,Semiconductors,NGM,6.97
ELF,Consumer Defensive,Household & Personal Products,NYQ,6.97
CYTK,Healthcare,Biotechnology,NMS,6.92
ALSN,Consumer Cyclical,Auto Parts,NYQ,6.92
JXN,Financial Services,Insurance - Life,NYQ,6.92
BTG,Basic Materials,Gold,ASE,6.89
G,Technology,Information Technology Services,NYQ,6.88
PFSI,Financial Services,Mortgage Finance,NYQ,6.88
PI,Technology,Semiconductors,NMS,6.86
PNFP,Financial Services,Banks - Regional,NMS,6.85
MNSO,Consumer Cyclical,Specialty Retail,NYQ,6.85
FCFS,Financial Services,Credit Services,NMS,6.84
IAG,Basic Materials,Gold,NYQ,6.83
QMMM,Communication Services,Advertising Agencies,NCM,6.83
AMG,Financial Services,Asset Management,NYQ,6.83
CADE,Financial Services,Banks - Regional,NYQ,6.8
OMF,Financial Services,Credit Services,NYQ,6.79
CMC,Basic Materials,Steel,NYQ,6.78
JBTM,Industrials,Specialty Industrial Machinery,NYQ,6.76
FOUR,Technology,Software - Infrastructure,NYQ,6.74
NUVL,Healthcare,Biotechnology,NMS,6.73
GTES,Industrials,Specialty Industrial Machinery,NYQ,6.73
BOKF,Financial Services,Banks - Regional,NMS,6.72
MIDD,Industrials,Specialty Industrial Machinery,NMS,6.72
CRUS,Technology,Semiconductors,NMS,6.7
OTF,Financial Services,Asset Management,NYQ,6.69
HRB,Consumer Cyclical,Personal Services,NYQ,6.68
LFUS,Technology,Electronic Components,NMS,6.67
EXLS,Technology,Information Technology Services,NMS,6.66
HLNE,Financial Services,Asset Management,NMS,6.66
OBDC,Financial Services,Asset Management,NYQ,6.66
LRN,Consumer Defensive,Education & Training Services,NYQ,6.64
HR,Real Estate,REIT - Healthcare Facilities,NYQ,6.64
ROAD,Industrials,Engineering & Construction,NMS,6.62
REZI,Industrials,Industrial Distribution,NYQ,6.62
UEC,Energy,Uranium,ASE,6.6
ONTO,Technology,Semiconductor Equipment & Materials,NYQ,6.6
KD,Technology,Information Technology Services,NYQ,6.59
GDS,Technology,Information Technology Services,NGM,6.58
MSA,Industrials,Security & Protection Services,NYQ,6.58
PONY,Technology,Information Technology Services,NMS,6.56
R,Industrials,Rental & Leasing Services,NYQ,6.51
KMX,Consumer Cyclical,Auto & Truck Dealerships,NYQ,6.5
CLF,Basic Materials,Steel,NYQ,6.5
FAF,Financial Services,Insurance - Specialty,NYQ,6.49
JHG,Financial Services,Asset Management,NYQ,6.49
LPX,Industrials,Building Products & Equipment,NYQ,6.46
AXSM,Healthcare,Biotechnology,NGM,6.46
DLB,Industrials,Specialty Business Services,NYQ,6.46
ORA,Utilities,Utilities - Renewable,NYQ,6.43
RDNT,Healthcare,Diagnostics & Research,NGM,6.43
SNV,Financial Services,Banks - Regional,NYQ,6.4
MKTX,Financial Services,Capital Markets,NMS,6.37
LNW,Consumer Cyclical,Gambling,NMS,6.37
VFC,Consumer Cyclical,Apparel Manufacturing,NYQ,6.37
CHE,Healthcare,Medical Care Facilities,NYQ,6.36
GGB,Basic Materials,Steel,NYQ,6.34
ESI,Basic Materials,Specialty Chemicals,NYQ,6.33
BYD,Consumer Cyclical,Resorts & Casinos,NYQ,6.32
AG,Basic Materials,Silver,NYQ,6.31
MTG,Financial Services,Insurance - Specialty,NYQ,6.31
TRNO,Real Estate,REIT - Industrial,NYQ,6.3
AXTA,Basic Materials,Specialty Chemicals,NYQ,6.29
VNT,Technology,Scientific & Technical Instruments,NYQ,6.29
CWEN,Utilities,Utilities - Renewable,NYQ,6.29
OR,Basic Materials,Gold,NYQ,6.28
HBM,Basic Materials,Copper,NYQ,6.27
CIG,Utilities,Utilities - Diversified,NYQ,6.27
GXO,Industrials,Integrated Freight & Logistics,NYQ,6.26
BVN,Basic Materials,Other Precious Metals & Mining,NYQ,6.25
THG,Financial Services,Insurance - Property & Casualty,NYQ,6.25
MIR,Industrials,Specialty Industrial Machinery,NYQ,6.21
ITRI,Technology,Scientific & Technical Instruments,NMS,6.21
CWAN,Technology,Software - Application,NYQ,6.19
EPRT,Real Estate,REIT - Retail,NYQ,6.19
ARW,Technology,Electronics & Computer Distribution,NYQ,6.18
PIPR,Financial Services,Capital Markets,NYQ,6.18
BXSL,Financial Services,Asset Management,NYQ,6.17
VLY,Financial Services,Banks - Regional,NMS,6.16
CRSP,Healthcare,Biotechnology,NGM,6.15
LOPE,Consumer Defensive,Education & Training Services,NMS,6.13
FBIN,Industrials,Building Products & Equipment,NYQ,6.1
URBN,Consumer Cyclical,Apparel Retail,NMS,6.08
TTMI,Technology,Electronic Components,NMS,6.07
RRR,Consumer Cyclical,Resorts & Casinos,NMS,6.05
ESNT,Financial Services,Insurance - Specialty,NYQ,6.05
BTSG,Healthcare,Health Information Services,NMS,6.03
SGHC,Consumer Cyclical,Gambling,NYQ,6.03
BOOT,Consumer Cyclical,Apparel Retail,NYQ,6.02
TXNM,Utilities,Utilities - Regulated Electric,NYQ,5.99
PB,Financial Services,Banks - Regional,NYQ,5.99
TFPM,Basic Materials,Other Precious Metals & Mining,NYQ,5.94
MAT,Consumer Cyclical,Leisure,NMS,5.94
CORZ,Technology,Software - Infrastructure,NMS,5.94
POST,Consumer Defensive,Packaged Foods,NYQ,5.94
CCCS,Technology,Software - Application,NMS,5.93
BRKR,Healthcare,Medical Devices,NMS,5.92
S,Technology,Software - Infrastructure,NYQ,5.92
OPEN,Real Estate,Real Estate Services,NMS,5.91
TMHC,Consumer Cyclical,Residential Construction,NYQ,5.9
SWX,Utilities,Utilities - Regulated Gas,NYQ,5.9
GLBE,Consumer Cyclical,Internet Retail,NMS,5.88
LEGN,Healthcare,Biotechnology,NMS,5.88
SMTC,Technology,Semiconductors,NMS,5.88
GGAL,Financial Services,Banks - Regional,NCM,5.85
THO,Consumer Cyclical,Recreational Vehicles,NYQ,5.83
TFX,Healthcare,Medical Instruments & Supplies,NYQ,5.83
FROG,Technology,Software - Application,NMS,5.82
IRTC,Healthcare,Medical Devices,NMS,5.8
HXL,Industrials,Aerospace & Defense,NYQ,5.79
NXST,Communication Services,Broadcasting,NMS,5.78
RITM,Real Estate,REIT - Mortgage,NYQ,5.76
GATX,Industrials,Rental & Leasing Services,NYQ,5.75
BFAM,Consumer Cyclical,Personal Services,NYQ,5.74
GSAT,Communication Services,Telecom Services,NMS,5.73
ALGM,Technology,Semiconductors,NMS,5.72
NXE,Energy,Uranium,NYQ,5.72
ESE,Technology,Scientific & Technical Instruments,NYQ,5.71
GBCI,Financial Services,Banks - Regional,NYQ,5.7
LTH,Consumer Cyclical,Leisure,NYQ,5.7
BULL,Technology,Software - Application,NCM,5.69
CACC,Financial Services,Credit Services,NMS,5.69
KBR,Industrials,Engineering & Construction,NYQ,5.68
LCID,Consumer Cyclical,Auto Manufacturers,NMS,5.68
EAT,Consumer Cyclical,Restaurants,NYQ,5.66
WH,Consumer Cyclical,Lodging,NYQ,5.65
RLI,Financial Services,Insurance - Property & Casualty,NYQ,5.63
CWST,Industrials,Waste Management,NMS,5.62
WULF,Financial Services,Capital Markets,NCM,5.62
SLM,Financial Services,Credit Services,NMS,5.61
SITE,Industrials,Industrial Distribution,NYQ,5.58
FNB,Financial Services,Banks - Regional,NYQ,5.58
BBWI,Consumer Cyclical,Specialty Retail,NYQ,5.57
BLCO,Healthcare,Medical Instruments & Supplies,NYQ,5.56
ATGE,Consumer Defensive,Education & Training Services,NYQ,5.56
CAR,Industrials,Rental & Leasing Services,NMS,5.53
MTSR,Healthcare,Biotechnology,NMS,5.53
BMI,Technology,Scientific & Technical Instruments,NYQ,5.52
ATAT,Consumer Cyclical,Lodging,NMS,5.5
MSGS,Communication Services,Entertainment,NYQ,5.49
RHP,Real Estate,REIT - Hotel & Motel,NYQ,5.49
GPI,Consumer Cyclical,Auto & Truck Dealerships,NYQ,5.49
AMTM,Industrials,Specialty Business Services,NYQ,5.49
MTN,Consumer Cyclical,Resorts & Casinos,NYQ,5.48
PCVX,Healthcare,Biotechnology,NMS,5.48
WEX,Technology,Software - Infrastructure,NYQ,5.48
DAR,Consumer Defensive,Packaged Foods,NYQ,5.47
CAMT,Technology,Semiconductor Equipment & Materials,NGM,5.45
SOBO,Energy,Oil & Gas Midstream,NYQ,5.45
CLSK,Financial Services,Capital Markets,NCM,5.44
TKR,Industrials,Tools & Accessories,NYQ,5.44
LEA,Consumer Cyclical,Auto Parts,NYQ,5.42
ACT,Financial Services,Insurance - Specialty,NMS,5.41
KRYS,Healthcare,Biotechnology,NMS,5.39
HOMB,Financial Services,Banks - Regional,NYQ,5.39
UFPI,Basic Materials,Lumber & Wood Production,NMS,5.38
ALH,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYQ,5.38
MRP,Real Estate,REIT - Residential,NYQ,5.38
ENIC,Utilities,Utilities - Regulated Electric,NYQ,5.35
CHRD,Energy,Oil & Gas E&P,NMS,5.3
EGO,Basic Materials,Gold,NYQ,5.29
TGTX,Healthcare,Biotechnology,NCM,5.29
BIPC,Utilities,Utilities - Regulated Gas,NYQ,5.29
PTCT,Healthcare,Biotechnology,NMS,5.27
TKC,Communication Services,Telecom Services,NYQ,5.27
MC,Financial Services,Capital Markets,NYQ,5.26
SR,Utilities,Utilities - Regulated Gas,NYQ,5.25
ARWR,Healthcare,Biotechnology,NMS,5.25
TREX,Industrials,Building Products & Equipment,NYQ,5.24
CRK,Energy,Oil & Gas E&P,NYQ,5.24
FRO,Energy,Oil & Gas Midstream,NYQ,5.24
WPP,Communication Services,Advertising Agencies,NYQ,5.23
SNEX,Financial Services,Capital Markets,NMS,5.22
CPA,Industrials,Airlines,NYQ,5.2
BILL,Technology,Software - Application,NYQ,5.2
ACIW,Technology,Software - Infrastructure,NMS,5.2
GNTX,Consumer Cyclical,Auto Parts,NMS,5.19
KRG,Real Estate,REIT - Retail,NYQ,5.15
WFG,Basic Materials,Lumber & Wood Production,NYQ,5.15
OZK,Financial Services,Banks - Regional,NMS,5.15
MAIN,Financial Services,Asset Management,NYQ,5.14
NOV,Energy,Oil & Gas Equipment & Services,NYQ,5.14
NGD,Basic Materials,Gold,ASE,5.14
UBSI,Financial Services,Banks - Regional,NMS,5.14
SEE,Consumer Cyclical,Packaging & Containers,NYQ,5.13
GPK,Consumer Cyclical,Packaging & Containers,NYQ,5.12
VSAT,Technology,Communication Equipment,NMS,5.12
TAC,Utilities,Utilities - Independent Power Producers,NYQ,5.12
ABTC,Financial Services,Capital Markets,NCM,5.11
INGM,Technology,Information Technology Services,NYQ,5.1
MTH,Consumer Cyclical,Residential Construction,NYQ,5.08
ABCB,Financial Services,Banks - Regional,NYQ,5.08
STNE,Technology,Software - Infrastructure,NMS,5.08
BCPC,Basic Materials,Specialty Chemicals,NMS,5.07
UPST,Financial Services,Credit Services,NMS,5.07
POR,Utilities,Utilities - Regulated Electric,NYQ,5.06
SMR,Industrials,Specialty Industrial Machinery,NYQ,5.05
WFRD,Energy,Oil & Gas Equipment & Services,NMS,5.05
ALK,Industrials,Airlines,NYQ,5.04
FLG,Financial Services,Banks - Regional,NYQ,5.03
HUT,Financial Services,Capital Markets,NMS,5.03
M,Consumer Cyclical,Department Stores,NYQ,5.03
FTDR,Consumer Cyclical,Personal Services,NMS,5.01
WK,Technology,Software - Application,NYQ,5
OSCR,Healthcare,Healthcare Plans,NYQ,4.99
BTDR,Technology,Software - Application,NCM,4.97
OGS,Utilities,Utilities - Regulated Gas,NYQ,4.97
LPL,Technology,Consumer Electronics,NYQ,4.95
MMS,Industrials,Specialty Business Services,NYQ,4.94
UUUU,Energy,Uranium,ASE,4.93
WTM,Financial Services,Insurance - Property & Casualty,NYQ,4.93
REYN,Consumer Cyclical,Packaging & Containers,NMS,4.93
DOOO,Consumer Cyclical,Recreational Vehicles,NMS,4.92
ALKS,Healthcare,Drug Manufacturers - Specialty & Generic,NMS,4.92
OMAB,Industrials,Airports & Air Services,NMS,4.92
MSM,Industrials,Industrial Distribution,NYQ,4.91
MMSI,Healthcare,Medical Instruments & Supplies,NMS,4.9
RAL,Technology,Electronic Components,NYQ,4.89
MTDR,Energy,Oil & Gas E&P,NYQ,4.89
KRC,Real Estate,REIT - Office,NYQ,4.88
FCN,Industrials,Consulting Services,NYQ,4.87
NPO,Industrials,Specialty Industrial Machinery,NYQ,4.87
AVAL,Financial Services,Banks - Regional,NYQ,4.85
KEX,Industrials,Marine Shipping,NYQ,4.85
NE,Energy,Oil & Gas Drilling,NYQ,4.85
HHH,Real Estate,Real Estate - Development,NYQ,4.85
NMRK,Real Estate,Real Estate Services,NMS,4.84
DORM,Consumer Cyclical,Auto Parts,NMS,4.83
AUB,Financial Services,Banks - Regional,NYQ,4.83
BKH,Utilities,Utilities - Regulated Gas,NYQ,4.82
BCO,Industrials,Security & Protection Services,NYQ,4.81
RUN,Technology,Solar,NMS,4.81
NNI,Financial Services,Credit Services,NYQ,4.8
BOX,Technology,Software - Infrastructure,NYQ,4.8
PECO,Real Estate,REIT - Retail,NMS,4.8
GOLF,Consumer Cyclical,Leisure,NYQ,4.79
ECG,Industrials,Engineering & Construction,NYQ,4.79
SHC,Healthcare,Diagnostics & Research,NMS,4.79
MRCY,Industrials,Aerospace & Defense,NMS,4.77
MAC,Real Estate,REIT - Retail,NYQ,4.77
SLGN,Consumer Cyclical,Packaging & Containers,NYQ,4.77
ENPH,Technology,Solar,NGM,4.74
KTB,Consumer Cyclical,Apparel Manufacturing,NYQ,4.72
HWC,Financial Services,Banks - Regional,NMS,4.72
ABG,Consumer Cyclical,Auto & Truck Dealerships,NYQ,4.71
IEP,Energy,Oil & Gas Refining & Marketing,NMS,4.7
BC,Consumer Cyclical,Recreational Vehicles,NYQ,4.7
ACLX,Healthcare,Biotechnology,NMS,4.7
BDC,Technology,Communication Equipment,NYQ,4.69
CVCO,Consumer Cyclical,Residential Construction,NMS,4.68
SIGI,Financial Services,Insurance - Property & Casualty,NMS,4.67
PTGX,Healthcare,Biotechnology,NGM,4.66
IFS,Financial Services,Banks - Regional,NYQ,4.66
ST,Technology,Scientific & Technical Instruments,NYQ,4.64
LAZ,Financial Services,Capital Markets,NYQ,4.64
SPR,Industrials,Aerospace & Defense,NYQ,4.64
SSRM,Basic Materials,Gold,NMS,4.64
NSA,Real Estate,REIT - Industrial,NYQ,4.64
RDN,Financial Services,Insurance - Specialty,NYQ,4.63
NOVT,Technology,Scientific & Technical Instruments,NMS,4.63
CZR,Consumer Cyclical,Resorts & Casinos,NMS,4.62
QLYS,Technology,Software - Infrastructure,NMS,4.62
MENS,Healthcare,Biotechnology,NGM,4.62
CNX,Energy,Oil & Gas E&P,NYQ,4.62
NJR,Utilities,Utilities - Regulated Gas,NYQ,4.62
CE,Basic Materials,Chemicals,NYQ,4.62
ACA,Industrials,Engineering & Construction,NYQ,4.6
MZTI,Consumer Defensive,Packaged Foods,NMS,4.59
GVA,Industrials,Engineering & Construction,NYQ,4.58
CLBT,Technology,Software - Infrastructure,NMS,4.56
LB,Energy,Oil & Gas Equipment & Services,NYQ,4.56
ENS,Industrials,Electrical Equipment & Parts,NYQ,4.55
AX,Financial Services,Banks - Regional,NYQ,4.55
ENLT,Utilities,Utilities - Renewable,NMS,4.54
OPCH,Healthcare,Medical Care Facilities,NMS,4.53
CROX,Consumer Cyclical,Footwear & Accessories,NMS,4.52
LSTR,Industrials,Integrated Freight & Logistics,NMS,4.51
CHH,Consumer Cyclical,Lodging,NYQ,4.5
EOSE,Industrials,Electrical Equipment & Parts,NCM,4.48
COMP,Real Estate,Real Estate Services,NYQ,4.48
ZETA,Technology,Software - Infrastructure,NYQ,4.47
AROC,Energy,Oil & Gas Equipment & Services,NYQ,4.47
TDS,Communication Services,Telecom Services,NYQ,4.47
CUZ,Real Estate,REIT - Office,NYQ,4.47
GHC,Consumer Defensive,Education & Training Services,NYQ,4.46
TMDX,Healthcare,Medical Devices,NGM,4.45
MGY,Energy,Oil & Gas E&P,NYQ,4.45
BGC,Financial Services,Capital Markets,NMS,4.45
DLO,Technology,Software - Infrastructure,NMS,4.44
DJT,Communication Services,Internet Content & Information,NGM,4.43
AQN,Utilities,Utilities - Diversified,NYQ,4.43
SLAB,Technology,Semiconductors,NMS,4.43
FFIN,Financial Services,Banks - Regional,NMS,4.42
LAUR,Consumer Defensive,Education & Training Services,NMS,4.4
POWL,Industrials,Electrical Equipment & Parts,NMS,4.4
FELE,Industrials,Specialty Industrial Machinery,NMS,4.39
MCY,Financial Services,Insurance - Property & Casualty,NYQ,4.39
RSI,Consumer Cyclical,Gambling,NYQ,4.39
HRI,Industrials,Rental & Leasing Services,NYQ,4.38
CALM,Consumer Defensive,Farm Products,NMS,4.37
OS,Technology,Software - Infrastructure,NMS,4.37
SBRA,Real Estate,REIT - Healthcare Facilities,NMS,4.34
PRAX,Healthcare,Biotechnology,NMS,4.33
SAIC,Technology,Information Technology Services,NMS,4.33
SKY,Consumer Cyclical,Residential Construction,NYQ,4.32
AKRO,Healthcare,Biotechnology,NMS,4.31
AD,Communication Services,Telecom Services,NYQ,4.31
VVV,Consumer Cyclical,Auto & Truck Dealerships,NYQ,4.29
RIG,Energy,Oil & Gas Drilling,NYQ,4.29
GKOS,Healthcare,Medical Devices,NYQ,4.28
CNR,Energy,Thermal Coal,NYQ,4.28
SIM,Basic Materials,Steel,ASE,4.27
FSK,Financial Services,Asset Management,NYQ,4.26
OSIS,Technology,Electronic Components,NMS,4.26
SPSC,Technology,Software - Application,NMS,4.25
ASB,Financial Services,Banks - Regional,NYQ,4.25
SIG,Consumer Cyclical,Luxury Goods,NYQ,4.25
VCTR,Financial Services,Asset Management,NMS,4.25
IBOC,Financial Services,Banks - Regional,NMS,4.25
GBTG,Consumer Cyclical,Travel Services,NYQ,4.24
PL,Industrials,Aerospace & Defense,NYQ,4.19
KYMR,Healthcare,Biotechnology,NGM,4.19
AVT,Technology,Electronics & Computer Distribution,NMS,4.19
TNL,Consumer Cyclical,Travel Services,NYQ,4.19
VIST,Energy,Oil & Gas E&P,NYQ,4.17
YOU,Technology,Software - Application,NYQ,4.16
BRBR,Consumer Defensive,Packaged Foods,NYQ,4.16
SSL,Basic Materials,Specialty Chemicals,NYQ,4.14
MUR,Energy,Oil & Gas E&P,NYQ,4.13
UGP,Energy,Oil & Gas Refining & Marketing,NYQ,4.13
PVH,Consumer Cyclical,Apparel Manufacturing,NYQ,4.12
CSW,Industrials,Specialty Industrial Machinery,NYQ,4.12
WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYQ,4.12
PAGP,Energy,Oil & Gas Midstream,NMS,4.11
SXT,Basic Materials,Specialty Chemicals,NYQ,4.11
PHI,Communication Services,Telecom Services,NYQ,4.11
AGX,Industrials,Engineering & Construction,NYQ,4.1
EPR,Real Estate,REIT - Specialty,NYQ,4.09
WSC,Industrials,Rental & Leasing Services,NCM,4.09
MDU,Utilities,Utilities - Regulated Gas,NYQ,4.08
KBH,Consumer Cyclical,Residential Construction,NYQ,4.08
VICR,Technology,Electronic Components,NMS,4.06
SKYW,Industrials,Airlines,NMS,4.05
MWA,Industrials,Specialty Industrial Machinery,NYQ,4.05
VERX,Technology,Software - Application,NGM,4.05
VAL,Energy,Oil & Gas Equipment & Services,NYQ,4.04
VIA,Technology,Software - Application,NYQ,4.03
NAMS,Healthcare,Biotechnology,NGM,4.02
SNDR,Industrials,Trucking,NYQ,4.01
FG,Financial Services,Insurance - Life,NYQ,4
CALX,Technology,Software - Infrastructure,NYQ,4
HGV,Consumer Cyclical,Resorts & Casinos,NYQ,3.99
PII,Consumer Cyclical,Recreational Vehicles,NYQ,3.98
CRC,Energy,Oil & Gas E&P,NYQ,3.98
SON,Consumer Cyclical,Packaging & Containers,NYQ,3.98
CVI,Energy,Oil & Gas Refining & Marketing,NYQ,3.98
VEON,Communication Services,Telecom Services,NCM,3.96
INTR,Financial Services,Banks - Regional,NMS,3.96
CWK,Real Estate,Real Estate Services,NYQ,3.95
FLY,Industrials,Aerospace & Defense,NGM,3.94
SLG,Real Estate,REIT - Office,NYQ,3.94
COLD,Real Estate,REIT - Industrial,NYQ,3.92
AGO,Financial Services,Insurance - Specialty,NYQ,3.92
SHAK,Consumer Cyclical,Restaurants,NYQ,3.92
PBF,Energy,Oil & Gas Refining & Marketing,NYQ,3.91
ALE,Utilities,Utilities - Diversified,NYQ,3.91
PAY,Technology,Software - Infrastructure,NYQ,3.91
TCBI,Financial Services,Banks - Regional,NMS,3.9
IRT,Real Estate,REIT - Residential,NYQ,3.9
GLNG,Energy,Oil & Gas Midstream,NMS,3.9
QTWO,Technology,Software - Application,NYQ,3.89
HNGE,Healthcare,Health Information Services,NYQ,3.89
VKTX,Healthcare,Biotechnology,NCM,3.89
CNO,Financial Services,Insurance - Life,NYQ,3.89
PLXS,Technology,Electronic Components,NMS,3.88
CRVL,Financial Services,Insurance Brokers,NMS,3.88
SFBS,Financial Services,Banks - Regional,NYQ,3.87
CRNX,Healthcare,Biotechnology,NMS,3.86
USLM,Basic Materials,Building Materials,NMS,3.85
LMND,Financial Services,Insurance - Property & Casualty,NYQ,3.85
NWE,Utilities,Utilities - Regulated Electric,NMS,3.83
BMA,Financial Services,Banks - Regional,NYQ,3.82
TFSL,Financial Services,Banks - Regional,NMS,3.82
VRRM,Technology,Information Technology Services,NCM,3.82
DNP,Financial Services,Asset Management,NYQ,3.81
LNTH,Healthcare,Drug Manufacturers - Specialty & Generic,NGM,3.81
KC,Technology,Software - Application,NMS,3.81
LGN,Industrials,Engineering & Construction,NMS,3.8
FMC,Basic Materials,Agricultural Inputs,NYQ,3.8
CBT,Basic Materials,Specialty Chemicals,NYQ,3.8
CXT,Industrials,Specialty Industrial Machinery,NYQ,3.79
PSMT,Consumer Defensive,Discount Stores,NMS,3.79
GBDC,Financial Services,Asset Management,NMS,3.78
VSEC,Industrials,Aerospace & Defense,NMS,3.78
HGTY,Financial Services,Insurance - Property & Casualty,NYQ,3.78
ATMU,Consumer Cyclical,Auto Parts,NYQ,3.77
SKT,Real Estate,REIT - Retail,NYQ,3.77
BANF,Financial Services,Banks - Regional,NMS,3.76
QURE,Healthcare,Biotechnology,NMS,3.76
TMC,Basic Materials,Other Industrial Metals & Mining,NMS,3.76
BRC,Industrials,Security & Protection Services,NYQ,3.74
FHI,Financial Services,Asset Management,NYQ,3.73
KFY,Industrials,Staffing & Employment Services,NYQ,3.72
ACAD,Healthcare,Biotechnology,NMS,3.72
WGS,Healthcare,Diagnostics & Research,NMS,3.7
TEX,Industrials,Farm & Heavy Construction Machinery,NYQ,3.7
BNL,Real Estate,REIT - Diversified,NYQ,3.7
TENB,Technology,Software - Infrastructure,NMS,3.67
IPGP,Technology,Semiconductor Equipment & Materials,NMS,3.66
AMBA,Technology,Semiconductor Equipment & Materials,NMS,3.66
LGND,Healthcare,Biotechnology,NGM,3.65
CARG,Consumer Cyclical,Auto & Truck Dealerships,NMS,3.65
NP,Financial Services,Insurance Brokers,NYQ,3.64
UCB,Financial Services,Banks - Regional,NYQ,3.64
CNS,Financial Services,Asset Management,NYQ,3.64
RYN,Real Estate,REIT - Specialty,NYQ,3.63
TPC,Industrials,Engineering & Construction,NYQ,3.63
TBBK,Financial Services,Banks - Regional,NMS,3.63
ADMA,Healthcare,Biotechnology,NGM,3.62
COTY,Consumer Defensive,Household & Personal Products,NYQ,3.62
TLX,Healthcare,Biotechnology,NMS,3.62
APGE,Healthcare,Biotechnology,NGM,3.61
AB,Financial Services,Asset Management,NYQ,3.6
HASI,Financial Services,Asset Management,NYQ,3.6
DOCN,Technology,Software - Infrastructure,NYQ,3.59
HSAI,Consumer Cyclical,Auto Parts,NMS,3.58
PTRN,Technology,Software - Application,NMS,3.57
NHI,Real Estate,REIT - Healthcare Facilities,NYQ,3.57
QFIN,Financial Services,Credit Services,NMS,3.57
APLS,Healthcare,Biotechnology,NMS,3.56
TGS,Energy,Oil & Gas Integrated,NYQ,3.56
PAM,Utilities,Utilities - Independent Power Producers,NYQ,3.56
GFF,Industrials,Building Products & Equipment,NYQ,3.56
KNF,Basic Materials,Building Materials,NYQ,3.56
FLNC,Utilities,Utilities - Renewable,NMS,3.56
GTM,Technology,Software - Application,NMS,3.55
RELY,Technology,Software - Infrastructure,NMS,3.55
BTU,Energy,Thermal Coal,NYQ,3.53
KEN,Utilities,Utilities - Independent Power Producers,NYQ,3.53
MIRM,Healthcare,Biotechnology,NGM,3.52
ORLA,Basic Materials,Gold,ASE,3.52
GNW,Financial Services,Insurance - Life,NYQ,3.51
EBC,Financial Services,Banks - Regional,NMS,3.51
EXPO,Industrials,Engineering & Construction,NMS,3.5
COMM,Technology,Communication Equipment,NMS,3.5
MIAX,Financial Services,Capital Markets,NYQ,3.49
HWKN,Basic Materials,Specialty Chemicals,NMS,3.48
QUBT,Technology,Computer Hardware,NCM,3.48
ALHC,Healthcare,Healthcare Plans,NMS,3.47
NG,Basic Materials,Gold,ASE,3.47
INDB,Financial Services,Banks - Regional,NMS,3.45
NEA,Financial Services,Asset Management,NYQ,3.44
PLUG,Industrials,Electrical Equipment & Parts,NCM,3.44
SEI,Energy,Oil & Gas Equipment & Services,NYQ,3.44
PATK,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NMS,3.44
ASAN,Technology,Software - Application,NYQ,3.44
UTG,Financial Services,Asset Management,NYQ,3.44
KAI,Industrials,Specialty Industrial Machinery,NYQ,3.43
MHO,Consumer Cyclical,Residential Construction,NYQ,3.43
NSIT,Technology,Electronics & Computer Distribution,NMS,3.43
HOG,Consumer Cyclical,Recreational Vehicles,NYQ,3.43
TEO,Communication Services,Telecom Services,NYQ,3.42
AIR,Industrials,Aerospace & Defense,NYQ,3.42
SLNO,Healthcare,Biotechnology,NCM,3.41
MYRG,Industrials,Engineering & Construction,NMS,3.41
RH,Consumer Cyclical,Specialty Retail,NYQ,3.39
HCC,Basic Materials,Coking Coal,NYQ,3.38
MLCO,Consumer Cyclical,Resorts & Casinos,NMS,3.38
AHL,Financial Services,Insurance - Property & Casualty,NYQ,3.38
NVST,Healthcare,Medical Instruments & Supplies,NYQ,3.38
HAYW,Industrials,Electrical Equipment & Parts,NYQ,3.37
SIMO,Technology,Semiconductors,NMS,3.37
DAVE,Technology,Software - Application,NGM,3.36
FIZZ,Consumer Defensive,Beverages - Non-Alcoholic,NMS,3.36
FUL,Basic Materials,Specialty Chemicals,NYQ,3.33
FORM,Technology,Semiconductor Equipment & Materials,NMS,3.33
WRD,Technology,Software - Application,NGM,3.33
CGON,Healthcare,Biotechnology,NMS,3.33
FIBK,Financial Services,Banks - Regional,NMS,3.32
FRSH,Technology,Software - Application,NMS,3.32
ANF,Consumer Cyclical,Apparel Retail,NYQ,3.32
AMRX,Healthcare,Drug Manufacturers - Specialty & Generic,NMS,3.31
RNST,Financial Services,Banks - Regional,NYQ,3.31
TBBB,Consumer Defensive,Discount Stores,NYQ,3.31
AAPG,Healthcare,Biotechnology,NGM,3.3
IMVT,Healthcare,Biotechnology,NMS,3.3
GTX,Consumer Cyclical,Auto Parts,NMS,3.3
ETOR,Financial Services,Capital Markets,NMS,3.29
OTTR,Industrials,Conglomerates,NMS,3.29
PCH,Real Estate,REIT - Specialty,NMS,3.29
GPOR,Energy,Oil & Gas E&P,NYQ,3.28
HIW,Real Estate,REIT - Office,NYQ,3.28
AAP,Consumer Cyclical,Auto Parts,NYQ,3.27
CDP,Real Estate,REIT - Office,NYQ,3.27
AGYS,Technology,Software - Application,NMS,3.27
FULT,Financial Services,Banks - Regional,NMS,3.26
